iter	Passed	Remaining
0	3	364
1	7	355
2	12	389
3	14	357
4	18	345
5	22	347
6	26	352
7	29	341
8	32	332
9	35	323
10	38	313
11	42	310
12	45	302
13	48	295
14	50	288
15	53	282
16	56	277
17	59	272
18	62	266
19	65	262
20	68	256
21	71	252
22	73	246
23	76	240
24	78	235
25	80	230
26	83	225
27	85	220
28	88	216
29	90	211
30	93	207
31	95	203
32	98	199
33	100	194
34	102	190
35	105	186
36	107	182
37	109	178
38	111	174
39	114	171
40	116	167
41	117	161
42	119	158
43	121	154
44	123	151
45	125	147
46	128	144
47	131	141
48	133	138
49	135	135
50	137	132
51	140	129
52	142	126
53	144	123
54	145	119
55	148	116
56	150	113
57	152	110
58	154	107
59	157	104
60	159	101
61	161	98
62	163	96
63	165	93
64	167	90
65	169	87
66	170	84
67	172	81
68	173	78
69	174	74
70	176	72
71	177	69
72	179	66
73	180	63
74	181	60
75	182	57
76	184	55
77	185	52
78	186	49
79	187	46
80	189	44
81	190	41
82	191	39
83	192	36
84	194	34
85	195	31
86	196	29
87	197	26
88	199	24
89	200	22
90	201	19
91	203	17
92	204	15
93	205	13
94	206	10
95	208	8
96	209	6
97	210	4
98	211	2
99	212	0
