iter	Passed	Remaining
0	126	126820
1	128	64239
2	130	43421
3	132	32879
4	133	26553
5	137	22734
6	138	19660
7	140	17369
8	141	15578
9	142	14139
10	144	13008
11	146	12044
12	147	11231
13	150	10619
14	152	9992
15	153	9442
16	155	8963
17	156	8533
18	158	8183
19	160	7846
20	161	7528
21	166	7393
22	167	7122
23	169	6879
24	170	6668
25	172	6477
26	174	6302
27	176	6139
28	179	6026
29	181	5876
30	183	5740
31	185	5608
32	186	5476
33	188	5351
34	190	5240
35	194	5196
36	195	5099
37	197	4996
38	199	4904
39	200	4811
40	201	4722
41	203	4637
42	204	4557
43	208	4529
44	210	4463
45	211	4393
46	213	4324
47	215	4269
48	217	4214
49	218	4155
50	224	4172
51	225	4120
52	227	4069
53	229	4019
54	231	3980
55	233	3929
56	234	3879
57	240	3908
58	242	3867
59	244	3826
60	246	3792
61	248	3758
62	249	3715
63	255	3738
64	257	3702
65	259	3666
66	260	3633
67	262	3598
68	263	3561
69	265	3525
70	270	3538
71	272	3508
72	273	3479
73	275	3449
74	277	3421
75	278	3391
76	280	3361
77	285	3377
78	287	3351
79	289	3325
80	290	3300
81	293	3281
82	293	3245
83	295	3218
84	298	3212
85	301	3202
86	303	3182
87	305	3161
88	306	3139
89	308	3118
90	310	3099
91	315	3109
92	317	3091
93	318	3072
94	320	3053
95	322	3040
96	324	3018
97	325	2995
98	329	2995
99	332	2988
100	333	2971
101	335	2954
102	337	2937
103	338	2918
104	340	2900
105	341	2880
106	347	2897
107	348	2882
108	350	2866
109	352	2851
110	354	2837
111	356	2822
112	360	2833
113	363	2822
114	364	2808
115	366	2794
116	367	2776
117	369	2762
118	371	2749
119	377	2766
120	379	2758
121	380	2741
122	382	2725
123	383	2710
124	385	2696
125	391	2718
126	394	2709
127	395	2697
128	397	2685
129	399	2672
130	402	2672
131	408	2689
132	410	2677
133	412	2666
134	414	2654
135	415	2642
136	424	2674
137	426	2662
138	428	2651
139	429	2639
140	431	2628
141	432	2614
142	434	2604
143	438	2606
144	440	2596
145	442	2586
146	443	2575
147	445	2566
148	447	2556
149	452	2565
150	454	2556
151	457	2550
152	458	2540
153	460	2530
154	462	2520
155	468	2532
156	469	2523
157	471	2514
158	473	2504
159	475	2496
160	476	2483
161	478	2474
162	483	2485
163	485	2476
164	488	2469
165	489	2460
166	491	2452
167	493	2443
168	507	2497
169	509	2488
170	517	2507
171	519	2500
172	521	2491
173	523	2483
174	524	2474
175	526	2465
176	533	2478
177	534	2469
178	536	2461
179	538	2452
180	542	2453
181	550	2471
182	551	2463
183	553	2453
184	555	2445
185	556	2436
186	558	2426
187	564	2437
188	566	2430
189	568	2421
190	569	2413
191	571	2405
192	573	2396
193	579	2407
194	581	2400
195	583	2391
196	584	2382
197	586	2374
198	588	2370
199	596	2387
200	598	2379
201	600	2370
202	601	2362
203	603	2354
204	606	2352
205	610	2354
206	612	2347
207	614	2339
208	616	2331
209	617	2323
210	620	2321
211	622	2314
212	624	2307
213	626	2299
214	628	2293
215	630	2287
216	635	2291
217	637	2285
218	638	2278
219	640	2271
220	642	2264
221	644	2257
222	645	2249
223	650	2252
224	651	2245
225	653	2238
226	655	2232
227	657	2227
228	659	2219
229	660	2211
230	666	2217
231	668	2211
232	669	2204
233	671	2198
234	673	2193
235	675	2185
236	676	2177
237	681	2181
238	683	2174
239	684	2168
240	686	2162
241	688	2156
242	690	2152
243	695	2153
244	697	2149
245	699	2143
246	701	2138
247	703	2132
248	705	2126
249	706	2119
250	707	2112
251	710	2109
252	712	2104
253	714	2097
254	715	2091
255	717	2085
256	719	2079
257	720	2073
258	723	2070
259	726	2066
260	727	2060
261	729	2054
262	730	2048
263	732	2041
264	735	2040
265	737	2034
266	738	2027
267	740	2021
268	741	2014
269	742	2008
270	744	2002
271	745	1995
272	751	2000
273	753	1995
274	754	1989
275	756	1984
276	758	1979
277	759	1973
278	761	1966
279	767	1972
280	768	1967
281	770	1962
282	772	1958
283	774	1952
284	776	1947
285	781	1949
286	782	1944
287	784	1939
288	786	1934
289	788	1930
290	790	1924
291	791	1918
292	795	1919
293	797	1915
294	799	1910
295	801	1905
296	802	1900
297	804	1895
298	806	1891
299	812	1895
300	814	1891
301	816	1886
302	818	1881
303	820	1877
304	821	1871
305	827	1876
306	829	1872
307	831	1867
308	832	1862
309	834	1857
310	836	1852
311	837	1847
312	841	1847
313	843	1843
314	845	1839
315	847	1834
316	849	1829
317	850	1824
318	852	1819
319	853	1814
320	858	1816
321	860	1812
322	862	1807
323	863	1802
324	865	1798
325	867	1793
